protocol,strategy_name,strategy_type,dsr_score,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_aware_score,rank_robust,rank_mandate_aware
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.3516062901059137,0.6471702899000941,0.38386572244570116,0.8256848403922251,0.21992296625302715,0.4935933965355811,0.48221378201184867,0.37153614096178367,12,10
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.39773692182667997,0.6673695642342586,0.3590902120609257,0.6749345004410265,0.9024803501323079,1.0,0.5661012418864256,0.35673054099020185,8,11
bil_cash,V4_real_garch_current_cap_0p80,TD3,0.287442627704946,0.5838553212231298,0.3431056915522396,0.8158276420165714,0.31110994852714224,0.44471276980640273,0.44734577051207775,0.34096198834580865,13,12
bil_cash,V8_ewma_garch_vol_current_cap_0p70,TD3,0.2603920925243374,0.6013691867489257,0.3723038383191649,0.8262921512009327,0.10000124360622209,0.5,0.43179617981168145,0.33290938627134803,14,13
bil_cash,60_40_SPY_TLT,benchmark,0.11232395255079014,0.4076383662218305,0.24506610087672756,0.7142192800121635,0.914265784003649,0.9846153846153847,0.4120283188179073,0.27594302592429265,16,14
bil_cash,V5_no_volatility_block_cap_0p70,TD3,0.17191071709476405,0.4994021811910312,0.26778484504017674,0.6409309083642748,0.3346250433389274,0.5138816343884499,0.3603068426826273,0.2140065627477826,17,15
bil_cash,momentum_winner_12p,benchmark,0.5968192428514958,0.827907065780067,0.8066298825526101,0.6029166618821188,0.8808749985646356,0.7407894736842104,0.7215176353449761,0.0,3,16
bil_cash,Equal_Weight_Risky,benchmark,0.3876542036332463,0.6551313324666507,0.4093252161757266,0.6104809725871637,0.8831442917761491,1.0,0.5590741458841388,0.0,9,16
bil_cash,BuyHold_BTC-USD,benchmark,0.17445009216814095,0.3885151084686401,0.2782220606638093,0.0,0.7,0.8,0.2956824614769322,0.0,18,16
bil_cash,BuyHold_TLT,benchmark,0.0009742374279790855,0.0,0.0,0.45383054182351706,0.8361491625470551,0.8,0.1919817687566268,0.0,19,16
