protocol,date,observation_number
bil_cash,2024-07-12,132
bil_cash,2024-07-19,133
bil_cash,2024-07-26,134
bil_cash,2024-08-02,135
bil_cash,2024-08-09,136
bil_cash,2024-08-16,137
bil_cash,2024-08-23,138
bil_cash,2024-08-30,139
bil_cash,2024-09-06,140
bil_cash,2024-09-13,141
bil_cash,2024-09-20,142
bil_cash,2024-09-27,143
bil_cash,2024-10-04,144
bil_cash,2024-10-11,145
bil_cash,2024-10-18,146
bil_cash,2024-10-25,147
bil_cash,2024-11-01,148
bil_cash,2024-11-08,149
bil_cash,2024-11-15,150
bil_cash,2024-11-22,151
bil_cash,2024-11-29,152
bil_cash,2024-12-06,153
bil_cash,2024-12-13,154
bil_cash,2024-12-20,155
bil_cash,2024-12-27,156
bil_cash,2025-01-03,157
bil_cash,2025-01-10,158
bil_cash,2025-01-17,159
bil_cash,2025-01-24,160
bil_cash,2025-01-31,161
bil_cash,2025-02-07,162
bil_cash,2025-02-14,163
bil_cash,2025-02-21,164
bil_cash,2025-02-28,165
bil_cash,2025-03-07,166
bil_cash,2025-03-14,167
bil_cash,2025-03-21,168
bil_cash,2025-03-28,169
bil_cash,2025-04-04,170
bil_cash,2025-04-11,171
bil_cash,2025-04-18,172
bil_cash,2025-04-25,173
bil_cash,2025-05-02,174
bil_cash,2025-05-09,175
bil_cash,2025-05-16,176
bil_cash,2025-05-23,177
bil_cash,2025-05-30,178
bil_cash,2025-06-06,179
bil_cash,2025-06-13,180
bil_cash,2025-06-20,181
bil_cash,2025-06-27,182
bil_cash,2025-07-04,183
bil_cash,2025-07-11,184
bil_cash,2025-07-18,185
bil_cash,2025-07-25,186
bil_cash,2025-08-01,187
bil_cash,2025-08-08,188
bil_cash,2025-08-15,189
bil_cash,2025-08-22,190
bil_cash,2025-08-29,191
bil_cash,2025-09-05,192
bil_cash,2025-09-12,193
bil_cash,2025-09-19,194
bil_cash,2025-09-26,195
bil_cash,2025-10-03,196
bil_cash,2025-10-10,197
bil_cash,2025-10-17,198
bil_cash,2025-10-24,199
bil_cash,2025-10-31,200
bil_cash,2025-11-07,201
bil_cash,2025-11-14,202
bil_cash,2025-11-21,203
bil_cash,2025-11-28,204
bil_cash,2025-12-05,205
bil_cash,2025-12-12,206
bil_cash,2025-12-19,207
bil_cash,2025-12-26,208
bil_cash,2026-01-02,209
bil_cash,2026-01-09,210
bil_cash,2026-01-16,211
bil_cash,2026-01-23,212
bil_cash,2026-01-30,213
bil_cash,2026-02-06,214
bil_cash,2026-02-13,215
bil_cash,2026-02-20,216
bil_cash,2026-02-27,217
bil_cash,2026-03-06,218
bil_cash,2026-03-13,219
bil_cash,2026-03-20,220
bil_cash,2026-03-27,221
bil_cash,2026-04-03,222
bil_cash,2026-04-10,223
bil_cash,2026-04-17,224
bil_cash,2026-04-24,225
bil_cash,2026-05-01,226
bil_cash,2026-05-08,227
bil_cash,2026-05-15,228
